Player,Salary
Stephen Curry,"$40,231,758"
Chris Paul,"$38,506,482"
Russell Westbrook,"$38,178,000"
John Wall,"$37,800,000"
James Harden,"$37,800,000"
LeBron James,"$37,436,858"
Kevin Durant,"$37,199,000"
Blake Griffin,"$34,234,964"
Kyle Lowry,"$33,296,296"
Paul George,"$33,005,556"
Klay Thompson,"$32,742,000"
Jimmy Butler,"$32,742,000"
Kemba Walker,"$32,742,000"
Kawhi Leonard,"$32,742,000"
Gordon Hayward,"$32,700,690"
Mike Conley,"$32,511,623"
Kyrie Irving,"$31,742,000"
Tobias Harris,"$31,034,483"
Khris Middleton,"$30,603,448"
Paul Millsap,"$30,500,000"
Damian Lillard,"$29,802,321"
Kevin Love,"$28,900,000"
Nikola Vučević,"$28,000,000"
Al Horford,"$28,000,000"
DeMar DeRozan,"$27,739,975"
CJ McCollum,"$27,556,959"
Joel Embiid,"$27,504,630"
Andrew Wiggins,"$27,504,630"
Kristaps Porziņģis,"$27,285,000"
D'Angelo Russell,"$27,285,000"
Otto Porter,"$27,250,576"
Devin Booker,"$27,250,000"
Karl-Anthony Towns,"$27,250,000"
Bradley Beal,"$27,093,019"
Anthony Davis,"$27,093,019"
Andre Drummond,"$27,093,019"
Hassan Whiteside,"$27,093,018"
Nikola Jokić,"$26,573,595"
Jrue Holiday,"$26,131,111"
LaMarcus Aldridge,"$26,000,000"
Steven Adams,"$25,842,697"
Giannis Antetokounmpo,"$25,842,697"
Marc Gasol,"$25,595,700"
Nicolas Batum,"$25,565,217"
Chandler Parsons,"$25,102,511"
Rudy Gobert,"$25,008,427"
Harrison Barnes,"$24,147,727"
Serge Ibaka,"$23,271,604"
Danilo Gallinari,"$22,615,559"
Victor Oladipo,"$21,000,000"
Malcolm Brogdon,"$20,000,000"
Terry Rozier,"$19,894,737"
Aaron Gordon,"$19,863,636"
Zach LaVine,"$19,500,000"
Kent Bazemore,"$19,269,662"
Tyler Johnson,"$19,245,370"
Goran Dragić,"$19,217,900"
Jeff Teague,"$19,000,000"
Evan Turner,"$18,606,557"
Draymond Green,"$18,539,130"
Tristan Thompson,"$18,539,130"
Tim Hardaway,"$18,150,000"
Myles Turner,"$18,000,000"
Julius Randle,"$18,000,000"
Gary Harris,"$17,839,286"
Allen Crabbe,"$17,818,456"
Derrick Favors,"$17,650,000"
Reggie Jackson,"$17,286,956"
Andre Iguodala,"$17,185,185"
Bojan Bogdanović,"$17,000,000"
Evan Fournier,"$17,000,000"
Bismack Biyombo,"$17,000,000"
Clint Capela,"$16,456,522"
Gorgui Dieng,"$16,229,213"
Ricky Rubio,"$16,190,476"
Jonas Valančiūnas,"$16,000,000"
Brandon Knight,"$15,643,750"
Eric Bledsoe,"$15,625,000"
Kelly Oubre,"$15,625,000"
Dennis Schröder,"$15,500,000"
Ian Mahinmi,"$15,450,051"
James Johnson,"$15,349,400"
Marvin Williams,"$15,006,250"
Bobby Portis,"$15,000,000"
Marcus Morris,"$15,000,000"
Danny Green,"$14,634,146"
Cody Zeller,"$14,471,910"
Eric Gordon,"$14,057,730"
Mason Plumlee,"$14,041,096"
Rudy Gay,"$14,000,000"
J.J. Redick,"$13,486,300"
Jordan Clarkson,"$13,437,500"
Dewayne Dedmon,"$13,333,334"
Solomon Hill,"$13,258,781"
Justise Winslow,"$13,000,000"
Michael Kidd-Gilchrist,"$13,000,000"
Will Barton,"$12,960,000"
Thaddeus Young,"$12,900,000"
Courtney Lee,"$12,759,670"
Larry Nance,"$12,727,273"
Marcus Smart,"$12,553,471"
Terrence Ross,"$12,500,000"
Miles Plumlee,"$12,500,000"
Patty Mills,"$12,428,571"
Patrick Beverley,"$12,345,679"
Trevor Ariza,"$12,200,000"
Dion Waiters,"$12,100,000"
Brook Lopez,"$12,093,024"
Jusuf Nurkić,"$12,000,000"
Cory Joseph,"$12,000,000"
Joe Ingles,"$11,954,546"
Kelly Olynyk,"$11,667,885"
Maurice Harkless,"$11,511,234"
Tony Snell,"$11,392,857"
Robert Covington,"$11,301,219"
Meyers Leonard,"$11,286,515"
T.J. Warren,"$10,810,000"
Andre Roberson,"$10,740,741"
Spencer Dinwiddie,"$10,600,000"
Jeremy Lamb,"$10,500,000"
Dwight Powell,"$10,259,375"
Norman Powell,"$10,116,576"
Josh Richardson,"$10,100,000"
Tomáš Satoranský,"$10,000,000"
DeAndre Jordan,"$9,881,598"
Taj Gibson,"$9,800,000"
Zion Williamson,"$9,757,440"
Markelle Fultz,"$9,745,200"
John Henson,"$9,732,396"
Matthew Dellavedova,"$9,607,500"
Dante Exum,"$9,600,000"
Deandre Ayton,"$9,562,920"
Delon Wright,"$9,473,684"
Jerami Grant,"$9,346,153"
Al-Farouq Aminu,"$9,258,000"
George Hill,"$9,133,907"
Kyle Anderson,"$9,073,050"
Fred VanVleet,"$9,000,000"
Ja Morant,"$8,730,240"
C.J. Miles,"$8,730,158"
Lonzo Ball,"$8,719,320"
E'Twaun Moore,"$8,664,928"
Marvin Bagley,"$8,556,120"
Bogdan Bogdanović,"$8,529,386"
Tyus Jones,"$8,408,000"
P.J. Tucker,"$8,349,039"
Cristiano Felício,"$8,156,500"
Ben Simmons,"$8,113,930"
Kentavious Caldwell-Pope,"$8,089,282"
Maxi Kleber,"$8,000,000"
Lou Williams,"$8,000,000"
Elfrid Payton,"$8,000,000"
Thomas Bryant,"$7,936,508"
RJ Barrett,"$7,839,960"
Jayson Tatum,"$7,830,000"
Jae Crowder,"$7,815,533"
Wayne Ellington,"$7,804,878"
Luka Dončić,"$7,683,360"
Joe Harris,"$7,670,000"
Seth Curry,"$7,441,860"
Doug McDermott,"$7,333,334"
Langston Galloway,"$7,333,333"
Derrick Rose,"$7,317,073"
Brandon Ingram,"$7,265,485"
D.J. Augustin,"$7,250,000"
Darius Miller,"$7,250,000"
